ID	PC1	PC2	PC3	PC4	PC5	InferredCov1	InferredCov2	InferredCov3	InferredCov4	InferredCov5	InferredCov6	InferredCov7	InferredCov8	InferredCov9	InferredCov10	InferredCov11	InferredCov12	InferredCov13	InferredCov14	InferredCov15	InferredCov16	InferredCov17	InferredCov18	InferredCov19	InferredCov20	InferredCov21	InferredCov22	InferredCov23	InferredCov24	InferredCov25	InferredCov26	InferredCov27	InferredCov28	InferredCov29	InferredCov30	pcr	platform	sex
GTEX-111CU	0.0107	-0.0026	0.0004	-0.0015	0.0112	0.0218000039458	-0.0152415297925	0.0146604413167	0.0468315929174	-0.0663394331932	-0.0315924473107	-0.0286158397794	0.0115650082007	0.00214825337753	0.0475477054715	0.0185385271907	-0.065501794219	-0.0766473710537	0.0103820636868	0.0544392392039	-0.145792216063	-0.114887081087	0.100705638528	0.139688298106	-0.166356280446	-0.0117675876245	0.0458615534008	-0.0367126241326	-0.0888694822788	0.0375672727823	-0.0216051898897	-0.189499646425	-0.0539364777505	0.159664466977	0.0602301508188	1.0	1.0	1.0
GTEX-111FC	0.0099	-0.005	0.0304	0.0076	0.0347	-0.0349188484251	0.0379759371281	-0.0503453984857	0.0336639545858	0.0183772556484	0.0226077884436	-0.0217884425074	-0.071874268353	-0.0769746005535	0.0301576629281	-0.0327547155321	-0.0456845872104	-0.0266052894294	0.0904229432344	0.011552894488	0.0823808163404	0.0344604924321	-0.101864732802	-0.0374872125685	0.00415944773704	-0.0955102145672	0.0298448838294	-0.132214978337	-0.0355807542801	0.14044778049	0.000130981701659	0.00126050878316	0.0812087729573	0.0991978943348	-0.0439925715327	1.0	1.0	1.0
GTEX-111YS	0.0154	-0.0093	0.0107	-0.0038	-0.0083	0.0323078483343	-0.000709551037289	0.0409051924944	-0.0295459590852	-0.0237186755985	0.0623560100794	-0.0365733392537	0.0538760386407	-0.000243025308009	0.0330263413489	0.0564476549625	0.0446823723614	0.0416358448565	0.13310828805	-0.107571832836	0.108744584024	0.0375170893967	-0.0297541860491	0.00660714041442	-0.103836528957	0.0475329682231	0.12612400949	-0.0757614150643	0.120930321515	0.0269104652107	-0.0792801529169	0.00752297230065	-0.0206899512559	-0.0533319339156	-0.0321203805506	1.0	1.0	1.0
GTEX-117YW	0.0109	-0.0031	-0.0767	0.012	0.002	-0.015340921469	0.0312871821225	0.0167000573128	-0.0588979423046	0.13551774621	0.0217268392444	0.000602464424446	-0.0844559520483	0.108470745385	-0.111765623093	0.0289686247706	0.0858532264829	0.00960030592978	0.00166045979131	-0.0402199141681	0.014546171762	-0.0842999070883	0.0339584983885	-0.0655713900924	-0.123596817255	0.0857051759958	0.120911717415	-0.0107009764761	-0.0874783694744	0.188819363713	0.0829683169723	-0.17041952908	0.0492612756789	-0.173592016101	-0.168645888567	1.0	1.0	1.0
GTEX-117YX	-0.024	0.2897	0.0133	0.1111	0.0262	-0.00286542554386	-0.0654389485717	0.0193642675877	-0.0457605905831	0.0120305875316	0.0472848601639	-0.00614878349006	-0.0267618168145	-0.00060384219978	0.0796081572771	-0.0204148907214	0.0953040719032	-0.00708178570494	-0.0772651806474	0.0570821762085	0.0884846746922	-0.00317386095412	0.0111140040681	-0.0186331272125	-0.0687091648579	0.224479734898	0.037824768573	-0.0461826920509	0.07922834903	-0.0439863316715	0.159690454602	-0.0238274484873	0.0480064228177	0.0034771123901	-0.0219437852502	1.0	1.0	1.0
GTEX-11DXZ	-0.0898	-0.012	0.0067	0.0028	0.0143	0.0864210128784	0.00352302077226	-0.0727783888578	-0.0518126562238	-0.0326224379241	-0.010991233401	0.0468018054962	-0.118119806051	-0.0221910774708	-0.0828903242946	-0.113718554378	0.0414925292134	-0.0188645701855	0.0828694403172	0.0991569757462	-0.0994100570679	0.0809291601181	0.0333813913167	-0.0030715262983	-0.0883213356137	0.0689861252904	0.090864174068	0.265021830797	0.116253778338	0.0456974282861	-0.0463373251259	-0.027688248083	-0.0541536398232	0.102306857705	-0.0369913764298	0.0	1.0	1.0
GTEX-11DYG	-0.0941	-0.0131	0.0034	0.0074	-0.0088	-0.0447164401412	0.0573320128024	0.0118042137474	-0.0315324887633	0.0152302756906	-0.0339260995388	0.0678780600429	0.00918870139867	0.0299713537097	-0.00532731600106	0.0386411882937	-0.0685160756111	-0.127621635795	0.0664186999202	0.0398571044207	0.0203842036426	-0.0492643080652	-0.0705396607518	0.0184937920421	-0.00935207586735	-0.038665201515	-0.0855418518186	-0.0198939386755	0.00345132662915	0.0602334998548	-0.101758174598	-0.111699447036	0.19370727241	0.0806177854538	-0.144887715578	1.0	1.0	1.0
GTEX-11EQ9	0.0135	-0.0064	-0.0041	0.002	-0.0016	0.0466448403895	-0.0370590984821	-0.0686227381229	-0.0168947987258	-0.0281141195446	-0.0377351343632	0.0382895469666	0.100887224078	-0.0416435673833	0.0105437934399	-0.0103601571172	0.00757021037862	0.0500184893608	0.135795265436	0.0134043004364	0.199643924832	-0.0790565162897	-0.126086950302	-0.0566630214453	0.119361847639	0.00254157371819	-0.0609391182661	-0.250283479691	0.0619900934398	-0.00752207729965	-0.0100745325908	-0.177188590169	-0.0204135030508	0.0369309484959	-0.115089461207	1.0	1.0	1.0
GTEX-11NSD	0.0139	-0.0032	0.0137	0.0051	-0.0403	-0.0181994307786	0.0312396455556	-0.00820786971599	-0.0158033818007	0.00641494290903	-0.00553945405409	-0.0418854802847	-0.077590957284	0.0174338519573	-0.00989639107138	0.173601612449	0.0544644333422	0.0889609232545	-0.0257551390678	0.0920929610729	0.0963203310966	-0.021961113438	0.127301707864	-0.209750369191	-0.0628493949771	-0.0767137855291	0.113019011915	0.214873805642	0.038699708879	0.162825942039	0.192254081368	0.132957130671	-0.080402739346	-0.0426476933062	-0.291961550713	0.0	1.0	1.0
GTEX-11O72	0.0105	-0.0031	-0.0638	-0.0036	0.0273	0.00175144860987	0.0329922512174	0.0536010116339	0.0632386803627	0.111729741096	0.0575506873429	-0.0225635115057	0.0113864494488	-0.0150352157652	0.0994008928537	-0.0316842161119	0.00128797802608	0.148349687457	-0.0206349249929	-0.064315751195	0.0452671609819	0.100877396762	0.0273275114596	-0.0331587456167	-0.116875208914	-0.145176634192	0.00755674857646	0.0420591123402	0.0355019159615	-0.0487978644669	-0.00932562537491	0.00529401237145	-0.123800635338	-0.0167535115033	-0.0438661538064	0.0	1.0	1.0
