ID	PC1	PC2	PC3	PC4	PC5	InferredCov1	InferredCov2	InferredCov3	InferredCov4	InferredCov5	InferredCov6	InferredCov7	InferredCov8	InferredCov9	InferredCov10	InferredCov11	InferredCov12	InferredCov13	InferredCov14	InferredCov15	pcr	platform	sex
GTEX-14C39	0.0145	-0.0067	0.0178	0.0152	0.0205	0.00157728872728	-0.0261910650879	0.0574333257973	0.013708432205	-0.0821529328823	-0.10839086771	-0.149316877127	0.0322295688093	-0.104532420635	-0.0525173321366	0.0444773361087	-0.0416269935668	-0.0267371237278	0.00406792573631	-0.00256432569586	1.0	1.0	1.0
GTEX-14C5O	0.0135	-0.0045	-0.0129	0.0039	0.0173	-0.0809032768011	-0.0793927162886	0.114597886801	0.000359895959264	-0.0871263444424	-0.0775980725884	0.141450688243	-0.0263903029263	-0.064513862133	0.116848029196	0.285311579704	0.0277111791074	-0.0180790759623	0.00275462027639	-0.000440136063844	1.0	1.0	1.0
GTEX-14E6D	0.0138	-0.0046	-0.0065	-0.0017	0.0104	-0.183353796601	0.0297186486423	-0.0341025553644	0.146599248052	-0.048035800457	0.0117008425295	0.0357729159296	-0.00338137126528	-0.0355973728001	0.097581975162	0.0120256990194	0.0110593512654	-0.0466808080673	0.00309001165442	-0.00258936034516	1.0	1.0	1.0
GTEX-15CHQ	0.0139	-0.0007	0.0039	0.011	-0.0752	-0.0434458069503	0.0770272985101	0.0558295287192	0.0158388633281	-0.0226444806904	0.112909696996	-0.0120182856917	-0.087867192924	-0.166809394956	0.0917197242379	0.0297576263547	-0.036485183984	0.0126822572201	0.000776009110268	0.000727849197574	1.0	1.0	1.0
GTEX-15DYW	0.0147	-0.0053	0.0256	0.0193	-0.0834	-0.0355158336461	0.06632707268	-0.000812093727291	-0.139191940427	0.0807307064533	0.108226269484	0.0319567061961	0.085043951869	0.0166867282242	0.0152290156111	-0.151324003935	0.0129026323557	-0.0219103824347	0.000816300045699	-0.00081614399096	1.0	1.0	2.0
GTEX-16MT8	0.0145	-0.004	0.031	0.0451	-0.1611	-0.00155922351405	-0.0593098849058	-0.0192335247993	-0.0949642658234	0.025493748486	0.08303360641	0.12604932487	-0.121846929193	0.0297058727592	-0.0876107737422	-0.00676769390702	0.0455058328807	-0.00415301928297	-0.00122066761833	0.000528942560777	1.0	1.0	2.0
GTEX-17F96	0.0145	-0.0077	0.0284	-0.002	0.0247	-0.01348206494	0.0251627471298	-0.0128172431141	-0.0351728275418	-0.0519922748208	0.0409734882414	-0.0800753682852	0.0564632415771	0.0548105612397	2.43158920057e-05	0.0431230589747	-0.0104166949168	0.00710746366531	0.00120938767213	0.000126050494146	1.0	1.0	1.0
GTEX-17F97	0.0165	-0.0076	0.017	0.0012	0.0207	0.0566435530782	0.0493913516402	0.0621689260006	0.0741722807288	-0.1025948897	0.0729693099856	-0.0192885901779	-0.0527609176934	0.150968775153	-0.165784344077	-0.134893551469	-0.0934602692723	0.153036788106	-0.0106351533905	0.00727573595941	1.0	1.0	1.0
GTEX-17HHY	0.0149	-0.0075	0.0228	-0.0062	0.0394	-0.113055065274	0.0788895115256	0.0327641367912	-0.0415155291557	0.0573835261166	0.06250115484	0.00323590193875	-0.0353699736297	-0.0462407171726	0.0337152779102	-0.0845383554697	0.0101303178817	-0.0600764751434	0.00385028705932	-0.003450343851	1.0	1.0	1.0
GTEX-1A3MW	0.0134	0.0011	0.0218	0.0131	-0.1168	0.153184786439	-0.00773479556665	0.172750681639	-0.0525332801044	0.0603397227824	0.046591244638	-0.0114781036973	-0.0199669487774	0.252676516771	0.0361077487469	0.0361912958324	-0.0371626131237	-0.131089925766	0.0120946355164	-0.0101564107463	1.0	1.0	2.0
